"filename", "language", "Python", "ANTLR", "comment", "blank", "total"
"c:\codes\Cpresto\cpc\asm\IndirectMemoryReference.py", "Python", 44, 0, 0, 13, 57
"c:\codes\Cpresto\cpc\asm\Instruction.py", "Python", 69, 0, 0, 16, 85
"c:\codes\Cpresto\cpc\asm\IntegerLiteral.py", "Python", 34, 0, 0, 13, 47
"c:\codes\Cpresto\cpc\asm\Label.py", "Python", 15, 0, 0, 5, 20
"c:\codes\Cpresto\cpc\asm\Literal.py", "Python", 20, 0, 0, 7, 27
"c:\codes\Cpresto\cpc\asm\MemoryReference.py", "Python", 11, 0, 0, 3, 14
"c:\codes\Cpresto\cpc\asm\NamedSymbol.py", "Python", 34, 0, 0, 7, 41
"c:\codes\Cpresto\cpc\asm\Operand.py", "Python", 20, 0, 0, 8, 28
"c:\codes\Cpresto\cpc\asm\OperandPattern.py", "Python", 5, 0, 0, 1, 6
"c:\codes\Cpresto\cpc\asm\Register.py", "Python", 13, 0, 0, 4, 17
"c:\codes\Cpresto\cpc\asm\Statistics.py", "Python", 37, 0, 0, 12, 49
"c:\codes\Cpresto\cpc\asm\SuffixedSymbol.py", "Python", 40, 0, 0, 10, 50
"c:\codes\Cpresto\cpc\asm\Symbol.py", "Python", 12, 0, 0, 4, 16
"c:\codes\Cpresto\cpc\asm\SymbolTable.py", "Python", 23, 0, 1, 7, 31
"c:\codes\Cpresto\cpc\asm\Type.py", "Python", 29, 0, 0, 3, 32
"c:\codes\Cpresto\cpc\asm\UnnamedSymbol.py", "Python", 22, 0, 0, 7, 29
"c:\codes\Cpresto\cpc\asm\__init__.py", "Python", 23, 0, 0, 0, 23
"c:\codes\Cpresto\cpc\compiler\Compiler.py", "Python", 186, 0, 0, 29, 215
"c:\codes\Cpresto\cpc\compiler\CompilerMode.py", "Python", 44, 0, 0, 11, 55
"c:\codes\Cpresto\cpc\compiler\DereferenceChecker.py", "Python", 246, 0, 16, 16, 278
"c:\codes\Cpresto\cpc\compiler\IRGenerator.py", "Python", 556, 0, 17, 53, 626
"c:\codes\Cpresto\cpc\compiler\LdArg.py", "Python", 10, 0, 0, 2, 12
"c:\codes\Cpresto\cpc\compiler\LdOption.py", "Python", 8, 0, 0, 4, 12
"c:\codes\Cpresto\cpc\compiler\LocalResolver.py", "Python", 211, 0, 2, 17, 230
"c:\codes\Cpresto\cpc\compiler\Options.py", "Python", 273, 0, 3, 34, 310
"c:\codes\Cpresto\cpc\compiler\SourceFile.py", "Python", 63, 0, 0, 16, 79
"c:\codes\Cpresto\cpc\compiler\TypeChecker.py", "Python", 460, 0, 17, 43, 520
"c:\codes\Cpresto\cpc\compiler\TypeResolver.py", "Python", 216, 0, 11, 12, 239
"c:\codes\Cpresto\cpc\compiler\Visitor.py", "Python", 160, 0, 2, 10, 172
"c:\codes\Cpresto\cpc\compiler\__init__.py", "Python", 9, 0, 0, 0, 9
"c:\codes\Cpresto\cpc\cpc.py", "Python", 4, 0, 0, 1, 5
"c:\codes\Cpresto\cpc\cpcparser\.antlr\CflatLexer.py", "Python", 368, 0, 1, 21, 390
"c:\codes\Cpresto\cpc\cpcparser\.antlr\CflatParser.py", "Python", 3029, 0, 2, 908, 3939
"c:\codes\Cpresto\cpc\cpcparser\.antlr\CprestoLexer.py", "Python", 368, 0, 1, 18, 387
"c:\codes\Cpresto\cpc\cpcparser\.antlr\CprestoParser.py", "Python", 4021, 0, 5, 1361, 5387
"c:\codes\Cpresto\cpc\cpcparser\Cpresto.g4", "ANTLR", 0, 1058, 2, 138, 1198
"c:\codes\Cpresto\cpc\cpcparser\CprestoLexer.py", "Python", 368, 0, 1, 18, 387
"c:\codes\Cpresto\cpc\cpcparser\CprestoListener.py", "Python", 356, 0, 127, 194, 677
"c:\codes\Cpresto\cpc\cpcparser\CprestoParser.py", "Python", 4387, 0, 5, 1483, 5875
"c:\codes\Cpresto\cpc\cpcparser\LibraryLoader.py", "Python", 40, 0, 1, 7, 48
"c:\codes\Cpresto\cpc\cpcparser\WrappedParser.py", "Python", 33, 0, 0, 5, 38
"c:\codes\Cpresto\cpc\cpcparser\__init__.py", "Python", 0, 0, 2, 0, 2
"c:\codes\Cpresto\cpc\entity\Constant.py", "Python", 21, 0, 0, 6, 27
"c:\codes\Cpresto\cpc\entity\ConstantEntry.py", "Python", 24, 0, 0, 7, 31
"c:\codes\Cpresto\cpc\entity\ConstantTable.py", "Python", 13, 0, 1, 5, 19
"c:\codes\Cpresto\cpc\entity\DefinedFunction.py", "Python", 31, 0, 3, 13, 47
"c:\codes\Cpresto\cpc\entity\DefinedVariable.py", "Python", 43, 0, 0, 15, 58
"c:\codes\Cpresto\cpc\entity\Entity.py", "Python", 64, 0, 0, 24, 88
"c:\codes\Cpresto\cpc\entity\Function.py", "Python", 34, 0, 0, 11, 45
"c:\codes\Cpresto\cpc\entity\LocalScope.py", "Python", 63, 0, 9, 15, 87
"c:\codes\Cpresto\cpc\entity\ParamSlots.py", "Python", 20, 0, 0, 5, 25
"c:\codes\Cpresto\cpc\entity\Parameter.py", "Python", 9, 0, 0, 3, 12
"c:\codes\Cpresto\cpc\entity\Params.py", "Python", 19, 0, 1, 6, 26
"c:\codes\Cpresto\cpc\entity\Scope.py", "Python", 18, 0, 0, 6, 24
"c:\codes\Cpresto\cpc\entity\TopLevelScope.py", "Python", 72, 0, 4, 14, 90
"c:\codes\Cpresto\cpc\entity\UndefinedFunction.py", "Python", 16, 0, 0, 5, 21
"c:\codes\Cpresto\cpc\entity\UndefinedVariable.py", "Python", 16, 0, 0, 4, 20
"c:\codes\Cpresto\cpc\entity\Variable.py", "Python", 4, 0, 0, 1, 5
"c:\codes\Cpresto\cpc\entity\__init__.py", "Python", 16, 0, 1, 0, 17
"c:\codes\Cpresto\cpc\exception\CompileException.py", "Python", 4, 0, 0, 0, 4
"c:\codes\Cpresto\cpc\exception\FileException.py", "Python", 4, 0, 0, 0, 4
"c:\codes\Cpresto\cpc\exception\IPCException.py", "Python", 4, 0, 0, 1, 5
"c:\codes\Cpresto\cpc\exception\JumpError.py", "Python", 4, 0, 0, 1, 5
"c:\codes\Cpresto\cpc\exception\OptionParseError.py", "Python", 4, 0, 0, 0, 4
"c:\codes\Cpresto\cpc\exception\SemanticError.py", "Python", 4, 0, 0, 0, 4
"c:\codes\Cpresto\cpc\exception\SemanticException.py", "Python", 4, 0, 0, 1, 5
"c:\codes\Cpresto\cpc\exception\SyntaxException.py", "Python", 4, 0, 0, 1, 5
"c:\codes\Cpresto\cpc\exception\__init__.py", "Python", 8, 0, 0, 0, 8
"c:\codes\Cpresto\cpc\ir\Addr.py", "Python", 19, 0, 0, 8, 27
"c:\codes\Cpresto\cpc\ir\Assign.py", "Python", 15, 0, 0, 4, 19
"c:\codes\Cpresto\cpc\ir\Bin.py", "Python", 19, 0, 0, 4, 23
"c:\codes\Cpresto\cpc\ir\CJump.py", "Python", 19, 0, 0, 4, 23
"c:\codes\Cpresto\cpc\ir\Call.py", "Python", 25, 0, 0, 8, 33
"c:\codes\Cpresto\cpc\ir\Case.py", "Python", 9, 0, 0, 2, 11
"c:\codes\Cpresto\cpc\ir\Expr.py", "Python", 32, 0, 0, 14, 46
"c:\codes\Cpresto\cpc\ir\ExprStmt.py", "Python", 11, 0, 0, 4, 15
"c:\codes\Cpresto\cpc\ir\IR.py", "Python", 62, 0, 0, 17, 79
"c:\codes\Cpresto\cpc\ir\IRDumpable.py", "Python", 5, 0, 0, 1, 6
"c:\codes\Cpresto\cpc\ir\IRDumper.py", "Python", 76, 0, 0, 9, 85
"c:\codes\Cpresto\cpc\ir\IRVisitor.py", "Python", 5, 0, 0, 1, 6
"c:\codes\Cpresto\cpc\ir\Int.py", "Python", 18, 0, 0, 7, 25
"c:\codes\Cpresto\cpc\ir\Jump.py", "Python", 11, 0, 0, 4, 15
"c:\codes\Cpresto\cpc\ir\LabelStmt.py", "Python", 11, 0, 0, 4, 15
"c:\codes\Cpresto\cpc\ir\Mem.py", "Python", 13, 0, 0, 5, 18
"c:\codes\Cpresto\cpc\ir\Op.py", "Python", 78, 0, 0, 7, 85
"c:\codes\Cpresto\cpc\ir\Return.py", "Python", 11, 0, 0, 4, 15
"c:\codes\Cpresto\cpc\ir\Stmt.py", "Python", 15, 0, 0, 5, 20
"c:\codes\Cpresto\cpc\ir\Str.py", "Python", 21, 0, 0, 9, 30
"c:\codes\Cpresto\cpc\ir\Switch.py", "Python", 23, 0, 0, 5, 28
"c:\codes\Cpresto\cpc\ir\Uni.py", "Python", 15, 0, 0, 4, 19
"c:\codes\Cpresto\cpc\ir\Var.py", "Python", 28, 0, 0, 10, 38
"c:\codes\Cpresto\cpc\ir\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\codes\Cpresto\cpc\sysdep\Assembler.py", "Python", 5, 0, 0, 1, 6
"c:\codes\Cpresto\cpc\sysdep\AssemblerOptions.py", "Python", 6, 0, 0, 2, 8
"c:\codes\Cpresto\cpc\sysdep\AssemblyCode.py", "Python", 8, 0, 0, 3, 11
"c:\codes\Cpresto\cpc\sysdep\CodeGenerator.py", "Python", 5, 0, 0, 1, 6
"c:\codes\Cpresto\cpc\sysdep\CodeGeneratorOptions.py", "Python", 24, 0, 0, 9, 33
"c:\codes\Cpresto\cpc\sysdep\GNUAssembler.py", "Python", 13, 0, 0, 2, 15
"c:\codes\Cpresto\cpc\sysdep\GNULinker.py", "Python", 48, 0, 1, 4, 53
"c:\codes\Cpresto\cpc\sysdep\Linker.py", "Python", 8, 0, 0, 2, 10
"c:\codes\Cpresto\cpc\sysdep\LinkerOptions.py", "Python", 7, 0, 0, 0, 7
"c:\codes\Cpresto\cpc\sysdep\Platform.py", "Python", 14, 0, 0, 4, 18
"c:\codes\Cpresto\cpc\sysdep\X86Linux.py", "Python", 17, 0, 0, 6, 23
"c:\codes\Cpresto\cpc\sysdep\x86\AssemblyCode.py", "Python", 263, 0, 11, 44, 318
"c:\codes\Cpresto\cpc\sysdep\x86\CodeGenerator.py", "Python", 561, 0, 56, 92, 709
"c:\codes\Cpresto\cpc\sysdep\x86\ELFConstants.py", "Python", 13, 0, 2, 4, 19
"c:\codes\Cpresto\cpc\sysdep\x86\PeepholeOptimizer.py", "Python", 134, 0, 7, 33, 174
"c:\codes\Cpresto\cpc\sysdep\x86\Register.py", "Python", 45, 0, 0, 12, 57
"c:\codes\Cpresto\cpc\sysdep\x86\RegisterClass.py", "Python", 10, 0, 0, 1, 11
"c:\codes\Cpresto\cpc\sysdep\x86\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\codes\Cpresto\cpc\type\ArrayType.py", "Python", 53, 0, 0, 16, 69
"c:\codes\Cpresto\cpc\type\ArrayTypeRef.py", "Python", 27, 0, 0, 10, 37
"c:\codes\Cpresto\cpc\type\CompositeType.py", "Python", 83, 0, 3, 21, 107
"c:\codes\Cpresto\cpc\type\FunctionType.py", "Python", 45, 0, 0, 13, 58
"c:\codes\Cpresto\cpc\type\FunctionTypeRef.py", "Python", 25, 0, 0, 6, 31
"c:\codes\Cpresto\cpc\type\IntegerType.py", "Python", 37, 0, 1, 11, 49
"c:\codes\Cpresto\cpc\type\IntegerTypeRef.py", "Python", 53, 0, 0, 14, 67
"c:\codes\Cpresto\cpc\type\NamedType.py", "Python", 9, 0, 0, 3, 12
"c:\codes\Cpresto\cpc\type\ParamTypeRefs.py", "Python", 20, 0, 0, 6, 26
"c:\codes\Cpresto\cpc\type\ParamTypes.py", "Python", 26, 0, 0, 5, 31
"c:\codes\Cpresto\cpc\type\PointerType.py", "Python", 37, 0, 0, 10, 47
"c:\codes\Cpresto\cpc\type\PointerTypeRef.py", "Python", 15, 0, 0, 5, 20
"c:\codes\Cpresto\cpc\type\StructType.py", "Python", 23, 0, 1, 7, 31
"c:\codes\Cpresto\cpc\type\StructTypeRef.py", "Python", 15, 0, 0, 7, 22
"c:\codes\Cpresto\cpc\type\Type.py", "Python", 66, 0, 0, 29, 95
"c:\codes\Cpresto\cpc\type\TypeRef.py", "Python", 7, 0, 1, 3, 11
"c:\codes\Cpresto\cpc\type\TypeTable.py", "Python", 175, 0, 1, 31, 207
"c:\codes\Cpresto\cpc\type\UnionType.py", "Python", 22, 0, 0, 5, 27
"c:\codes\Cpresto\cpc\type\UnionTypeRef.py", "Python", 15, 0, 0, 6, 21
"c:\codes\Cpresto\cpc\type\UserType.py", "Python", 65, 0, 0, 11, 76
"c:\codes\Cpresto\cpc\type\UserTypeRef.py", "Python", 15, 0, 0, 5, 20
"c:\codes\Cpresto\cpc\type\VoidType.py", "Python", 18, 0, 0, 8, 26
"c:\codes\Cpresto\cpc\type\VoidTypeRef.py", "Python", 10, 0, 0, 4, 14
"c:\codes\Cpresto\cpc\type\__init__.py", "Python", 23, 0, 0, 0, 23
"c:\codes\Cpresto\cpc\utils\AsmUtils.py", "Python", 6, 0, 0, 1, 7
"c:\codes\Cpresto\cpc\utils\CommandUtils.py", "Python", 40, 0, 0, 3, 43
"c:\codes\Cpresto\cpc\utils\ErrorHandler.py", "Python", 26, 0, 0, 4, 30
"c:\codes\Cpresto\cpc\utils\TextUtils.py", "Python", 7, 0, 0, 2, 9
"c:\codes\Cpresto\cpc\utils\__init__.py", "Python", 4, 0, 0, 0, 4
"Total", "-", 20437, 1058, 328, 5715, 27538
